id,city,institution,money,dropoff_day,email,wallet_recovery,wallet_totalrecovery,male,age40,computer,coworkers,other_bystanders,security_cam,security_guard,english,understood_situation,busy,hotel,bank,cultural,public,postal,name_owner,record,o_male,o_age40,o_computer,o_coworkers,o_other_bystanders,o_employees_handle,o_security_cam,o_security_guard,o_english,o_understood_situation,o_busy,revisit_day,r_employees_handle,r_hnsty_nocontact,r_hnsty_takeaway,r_knwres,keymissing,cardmissing,notemissing,moneymissing,wcovermissing,wavialabel,rice,cis
21_038,Shanghai,Cultural Attractions,Money,23Aug2019,100,100,100,1,40+,1,1,1,1,1,0,6,1,0,0,1,0,0,Chang Wei,0,,,,,,,1,0,,,,30Aug2019,3 or more,0,6,0,0,0,0,0,0,0,87.55,4.26
21_039,Shanghai,Cultural Attractions,No Money,23Aug2019,100,100,100,0,smaller than 40,1,1,1,,1,0,2,1,0,0,1,0,0,Li Qiang,1,0,smaller than 40,1,1,0,3 or more,1,0,0,4,2,30Aug2019,3 or more,,,0,0,0,0,,0,0,87.55,4.26
21_040,Shanghai,Bank,No Money,21Aug2019,0,100,100,1,smaller than 40,0,1,0,1,1,0,2,1,0,1,0,0,0,Chang Wei,1,1,smaller than 40,0,1,1,1,1,0,1,4,2,28Aug2019,1,6,6,0,0,0,0,,0,0,87.55,4.26
21_041,Shanghai,Bank,No Money,21Aug2019,0,0,0,0,smaller than 40,1,1,1,1,1,0,2,2,0,1,0,0,0,Chang Wei,0,,,,,,,1,0,,,,28Aug2019,9,6,6,0,1,1,1,,1,0,87.55,4.26
21_042,Shanghai,Bank,Money,21Aug2019,0,100,100,0,smaller than 40,1,1,1,1,1,0,3,2,0,1,0,0,0,Wang Lei,0,,,,,,,1,0,,,,28Aug2019,3 or more,6,6,0,0,0,0,0,0,0,87.55,4.26
21_043,Shanghai,Bank,No Money,21Aug2019,0,0,0,1,40+,0,1,1,1,1,0,3,4,0,1,0,0,0,Chang Wei,0,,,,,,,1,0,,,,28Aug2019,9,2,2,0,1,1,1,,1,0,87.55,4.26
21_044,Shanghai,Bank,No Money,22Aug2019,0,100,100,0,smaller than 40,1,1,1,1,1,0,3,1,0,1,0,0,0,Wang Lei,1,0,smaller than 40,0,1,0,2,1,0,0,4,1,29Aug2019,2,,4,0,0,0,0,,0,0,87.55,4.26
21_045,Shanghai,Bank,Money,22Aug2019,100,100,100,1,smaller than 40,1,1,1,1,1,0,4,5,0,1,0,0,0,Chang Wei,1,1,40+,1,1,1,1,1,0,0,5,5,29Aug2019,3 or more,6,6,0,0,0,0,0,0,0,87.55,4.26
21_046,Shanghai,Bank,Money,22Aug2019,0,100,100,0,40+,0,1,1,1,1,0,3,1,0,1,0,0,0,Wang Lei,1,0,40+,0,1,1,3 or more,1,0,0,5,0,29Aug2019,3 or more,4,4,0,0,0,0,0,0,0,87.55,4.26
21_047,Shanghai,Bank,Money,22Aug2019,0,100,100,0,40+,0,1,0,1,1,0,3,1,0,1,0,0,0,Li Qiang,0,,,,,,,1,0,,,,29Aug2019,1,,,0,0,0,0,0,0,0,87.55,4.26
21_048,Shanghai,Bank,Money,22Aug2019,100,100,100,0,smaller than 40,0,1,1,1,1,0,3,5,0,1,0,0,0,Li Qiang,0,,,,,,,1,0,,,,29Aug2019,2,,6,0,0,0,0,0,0,0,87.55,4.26
21_049,Shanghai,Bank,No Money,22Aug2019,0,100,100,1,smaller than 40,1,1,1,1,1,0,3,1,0,1,0,0,0,Li Qiang,0,,,,,,,1,0,,,,29Aug2019,1,0,,1,0,0,0,,0,0,87.55,4.26
21_050,Shanghai,Bank,No Money,22Aug2019,100,100,0,0,smaller than 40,1,0,1,1,1,1,1,2,0,1,0,0,0,Wang Lei,1,0,smaller than 40,1,1,1,1,1,0,,4,3,29Aug2019,2,4,6,0,1,0,0,,0,0,87.55,4.26
21_051,Shanghai,Bank,Money,22Aug2019,100,100,100,0,smaller than 40,0,1,1,1,1,0,2,2,0,1,0,0,0,Wang Lei,1,0,smaller than 40,0,0,0,3 or more,1,1,0,5,0,29Aug2019,3 or more,,4,0,0,0,0,0,0,0,87.55,4.26
21_052,Shanghai,Bank,No Money,22Aug2019,0,100,100,1,smaller than 40,,1,1,1,1,0,3,2,0,1,0,0,0,Li Qiang,0,,,,,,,1,0,,,,29Aug2019,1,0,6,0,0,0,0,,0,0,87.55,4.26
21_053,Shanghai,Bank,No Money,22Aug2019,0,100,100,0,smaller than 40,1,1,1,1,1,0,2,2,0,1,0,0,0,Chang Wei,1,0,smaller than 40,1,1,0,2,1,0,1,6,1,29Aug2019,3 or more,,,0,0,0,0,,0,0,87.55,4.26
21_054,Shanghai,Postal Office,Money,20Aug2019,100,100,100,0,smaller than 40,1,1,1,1,1,0,5,3,0,0,0,0,1,Chang Wei,0,,,,,,,1,0,,,,28Aug2019,3 or more,4,5,0,0,0,0,0,0,0,87.55,4.26
21_055,Shanghai,Postal Office,No Money,20Aug2019,0,100,100,1,40+,1,1,0,1,1,0,1,1,0,0,0,0,1,Wang Lei,1,1,smaller than 40,1,1,0,3 or more,1,0,0,4,0,28Aug2019,3 or more,0,6,0,0,0,0,,0,0,87.55,4.26
